수송일자,역명,승하차구분,승하차수,태풍,폭염,기온,강수량,상대습도,출퇴근,월요일,화요일,수요일,목요일,금요일,토요일,일월날짜,승하차,cue,습도,적설,파업,IsHoliday,이전 승하차수,일주일 전 승하차 수,잠실 스포츠
2022-01-01,건대입구,승차,362.0,0.0,0.0,-10.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,53.0,0.0,0.0,1,362.0,362.0,0
2022-01-01,건대입구,하차,180.0,0.0,0.0,-10.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.0,0.0,0.0,1,362.0,180.0,0
2022-01-01,건대입구,승차,1606.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,38.0,0.0,0.0,1,180.0,1606.0,0
2022-01-01,건대입구,하차,2758.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,0.0,0.0,1,1606.0,2758.0,0
2022-01-02,건대입구,승차,346.0,0.0,0.0,-2.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,66.0,0.1,0.0,0,2758.0,346.0,0
2022-01-02,건대입구,하차,187.0,0.0,0.0,-2.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,66.0,0.1,0.0,0,346.0,187.0,0
2022-01-02,건대입구,하차,2878.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45.0,0.0,0.0,0,187.0,2878.0,0
2022-01-02,건대입구,승차,1689.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,45.0,0.0,0.0,0,2878.0,362.0,0
2022-01-03,건대입구,하차,952.0,0.0,0.0,-7.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,55.0,0.0,0.0,0,1689.0,180.0,0
2022-01-03,건대입구,승차,1989.0,0.0,0.0,-7.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,55.0,0.0,0.0,0,952.0,1606.0,0
2022-01-03,건대입구,하차,3269.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,56.0,0.0,0.0,0,1989.0,2758.0,0
2022-01-03,건대입구,승차,2182.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,56.0,0.0,0.0,0,3269.0,346.0,0
2022-01-04,건대입구,하차,953.0,0.0,0.0,-4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,73.0,0.0,0.0,0,2182.0,187.0,0
2022-01-04,건대입구,승차,1958.0,0.0,0.0,-4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,73.0,0.0,0.0,0,953.0,2878.0,0
2022-01-04,건대입구,하차,3263.0,0.0,0.0,-1.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,29.0,0.0,0.0,0,1958.0,1689.0,0
2022-01-04,건대입구,승차,2302.0,0.0,0.0,-1.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,29.0,0.0,0.0,0,3263.0,952.0,0
2022-01-05,건대입구,하차,999.0,0.0,0.0,-7.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,55.0,0.0,0.0,0,2302.0,1989.0,0
2022-01-05,건대입구,하차,999.0,0.0,0.0,-7.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,55.0,0.0,0.0,0,999.0,3269.0,0
2022-01-05,건대입구,승차,2404.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,38.0,0.0,0.0,0,999.0,2182.0,0
2022-01-05,건대입구,승차,2404.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,38.0,0.0,0.0,0,2404.0,953.0,0
2022-01-06,건대입구,승차,1957.0,0.0,0.0,-5.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,60.0,0.0,0.0,0,2404.0,1958.0,0
2022-01-06,건대입구,승차,1957.0,0.0,0.0,-5.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,60.0,0.0,0.0,0,1957.0,3263.0,0
2022-01-06,건대입구,하차,3380.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,33.0,0.0,0.0,0,1957.0,2302.0,0
